end_lat,end_lng,end_station_name,count
40.71958611647166,-74.04311746358871,Grove St PATH,44383
40.73698221818716,-74.02778059244156,South Waterfront Walkway - Sinatra Dr & 1 St,33802
40.7360676564825,-74.02912706136703,Hoboken Terminal - River St & Hudson Pl,32211
40.73593758446329,-74.03030455112457,Hoboken Terminal - Hudson St & Hudson Pl,30089
40.73736,-74.03097,City Hall - Washington St & 1 St,23591
40.7287448,-74.0321082,Newport Pkwy,21619
40.727595966,-74.044247311,Hamilton Park,20579
40.73520838045357,-74.04696375131607,Hoboken Ave at Monmouth St,20103
40.7272235,-74.0337589,Newport PATH,19720
40.71458403535893,-74.04281705617905,Marin Light Rail,18695
40.71687,-74.03281,Columbus Dr at Exchange Pl,17315
40.75296063046496,-74.02435272932053,14 St Ferry - 14 St & Shipyard Ln,17199
40.75060414236896,-74.02402013540268,12 St & Sinatra Dr N,17069
40.7192517,-74.034234,Harborside,15763
40.74097260864355,-74.02860336005688,Hudson St & 4 St,15620
40.74998490907138,-74.02715027332306,11 St & Washington St,15322
40.7242941,-74.0354826,Washington St,14992
40.7177325,-74.043845,City Hall,14517
40.7112423,-74.0557013,Liberty Light Rail,14203
40.73879,-74.0393,Madison St & 1 St,13882
40.7211236,-74.03805095,Warren St,13851
40.74598388291562,-74.02819901704788,8 St & Washington St,13783
40.72152515,-74.046304543,Newark Ave,12469
40.74816121065146,-74.0324530005455,Columbus Park - Clinton St & 9 St,11996
40.74265933273143,-74.03223305940628,Church Sq Park - 5 St & Park Ave,11769
40.75409,-74.0316,Grand St & 14 St,11595
40.74542,-74.03332,Clinton St & 7 St,11439
40.73743,-74.03571,Clinton St & Newark St,11369
40.71835519823214,-74.03891444206238,Columbus Drive,11320
40.71848892,-74.047726625,Van Vorst Park,10927
40.72165072487999,-74.04288411140442,Manila & 1st,10783
40.71517767732029,-74.03768330812454,Grand St,10722
40.74790720968899,-74.03841152787209,9 St HBLR - Jackson St & 8 St,10628
40.74641264837719,-74.03797701001167,7 St & Monroe St,10237
40.73100888698729,-74.06443700194359,Bergen Ave & Sip Ave,10138
40.7422579775645,-74.03511106967926,4 St & Grand St,10120
40.75453,-74.02658,Bloomfield St & 15 St,9891
40.73089709786179,-74.06391263008118,Sip Ave,9715
40.73755127245804,-74.04166370630264,Southwest Park - Jackson St & Observer Hwy,9625
40.7518674823282,-74.03037697076797,Willow Ave & 12 St,9578
40.7141454,-74.0335519,Paulus Hook,9575
40.73981372311843,-74.03690412640572,Adams St & 2 St,9232
40.74994325412246,-74.03586477041245,Madison St & 10 St,9029
40.71653978099194,-74.0496379137039,JC Medical Center,8848
40.7241765,-74.0506564,Brunswick St,8846
40.72601172964625,-74.05038893222809,Brunswick & 6th,8731
40.72333158646436,-74.04595255851744,Jersey & 3rd,8512
40.7253399253558,-74.06762212514877,McGinley Square,8438
40.7124188237569,-74.03852552175522,Morris Canal,8398
40.740802,-74.042521,Marshall St & 2 St,8253
